2021-02-07 23:50:45.039 +03:00 [INF] Creating client
2021-02-07 23:50:45.086 +03:00 [INF] Starting service...
2021-02-07 23:50:45.357 +03:00 [INF] Watching C:\Users\maksi\Desktop\Projects\EPAM\EPAM\T4\bin\Debug\Sales
2021-02-07 23:50:45.357 +03:00 [INF] Started
2021-02-07 23:50:55.870 +03:00 [INF] Directory content changed. Processing...
2021-02-07 23:50:55.945 +03:00 [INF] Ghost local sales: 100, Client Ursulina Rodmann, 20.06.1979, Product Chennai 943
0, Client 0, Manager 4, 31.10.1904 00:00:00
0, Client 0, Manager 4, 10.10.1909 00:00:00
0, Client 0, Manager 4, 11.05.2004 00:00:00
0, Client 0, Manager 4, 26.12.1995 00:00:00
0, Client 0, Manager 4, 15.04.1948 00:00:00

2021-02-08 00:41:31.157 +03:00 [INF] Manager existence: True
2021-02-08 00:41:31.157 +03:00 [INF] Connection String: data source=(localdb)\MSSQLLocalDB;Initial Catalog=market;Integrated Security=True;
2021-02-08 00:41:31.157 +03:00 [INF] Data Source: (localdb)\MSSQLLocalDB
2021-02-08 00:41:31.385 +03:00 [INF] Successfully pushed file from Ivanov
